ID,deptName,description,budget,currency_code,location,head_ID,createdAt,createdBy,modifiedAt,modifiedBy
97937765-9a0a-455b-a70b-7d4902ceff7a,deptName-9793776,description-9793776,5570385640.26,634,location-9793776,30591486-906e-4551-935a-542b96600e5f,2023-07-24T00:00:00.000Z,createdBy.5twxc@example.net,2007-05-06T00:00:00.000Z,modifiedBy.5twxc@example.org
97937777-6d87-45ff-abfc-25bc4dbb39ba,deptName-9793777,description-9793777,8000434421.13,634,location-9793777,30591486-906e-4551-935a-542b96600e5f,2011-12-27T00:00:00.000Z,createdBy.5twxd@example.net,2011-08-24T00:00:00.000Z,modifiedBy.5twxd@example.org
9793778e-c94c-4ae4-ade0-1bdccea47a33,deptName-9793778,description-9793778,5461924336.53,634,location-9793778,30591486-906e-4551-935a-542b96600e5f,2009-10-08T00:00:00.000Z,createdBy.5twxe@example.net,2015-01-08T00:00:00.000Z,modifiedBy.5twxe@example.org
97937793-e779-4540-8255-c2210a8de963,deptName-9793779,description-9793779,4657932200.5,634,location-9793779,30591486-906e-4551-935a-542b96600e5f,2007-07-28T00:00:00.000Z,createdBy.5twxf@example.org,2015-07-08T00:00:00.000Z,modifiedBy.5twxf@example.org
97937808-b85e-406b-9663-a7d5ba3c5456,deptName-9793780,description-9793780,4840305943.23,634,location-9793780,30591486-906e-4551-935a-542b96600e5f,2010-11-30T00:00:00.000Z,createdBy.5twxg@example.net,2004-05-09T00:00:00.000Z,modifiedBy.5twxg@example.com
97937810-b494-432b-a025-58f7266db68c,deptName-9793781,description-9793781,2201884202.11,634,location-9793781,30591486-906e-4551-935a-542b96600e5f,2014-04-29T00:00:00.000Z,createdBy.5twxh@example.net,2019-04-10T00:00:00.000Z,modifiedBy.5twxh@example.net
97937828-49e4-4c51-80dd-d227f3a2715b,deptName-9793782,description-9793782,7382722174.64,634,location-9793782,30591486-906e-4551-935a-542b96600e5f,2021-08-30T00:00:00.000Z,createdBy.5twxi@example.com,2004-10-24T00:00:00.000Z,modifiedBy.5twxi@example.com
97937832-8a20-4d2b-802e-58f30ab16a19,deptName-9793783,description-9793783,3148476760.45,634,location-9793783,30591486-906e-4551-935a-542b96600e5f,2000-05-22T00:00:00.000Z,createdBy.5twxj@example.org,2018-04-12T00:00:00.000Z,modifiedBy.5twxj@example.com
97937844-e7d9-4694-b1bf-344bb4c1cce4,deptName-9793784,description-9793784,6610755582.43,634,location-9793784,30591486-906e-4551-935a-542b96600e5f,2016-12-02T00:00:00.000Z,createdBy.5twxk@example.net,2002-10-15T00:00:00.000Z,modifiedBy.5twxk@example.com
97937858-e31a-4061-83eb-b42c1ff8494f,deptName-9793785,description-9793785,1621612350.87,634,location-9793785,30591486-906e-4551-935a-542b96600e5f,2007-02-27T00:00:00.000Z,createdBy.5twxl@example.com,2015-01-13T00:00:00.000Z,modifiedBy.5twxl@example.org
