ID,proficiency,yearsOfExperience,certifiedDate,employee_ID,skill_ID,createdAt,createdBy,modifiedAt,modifiedBy
27394053-efbf-419f-a587-5da23ca90b5d,Expert,5.1,2020-05-31,19856823-f1c3-4da2-9d26-1925d9e8a15a,22221088-4cf1-4165-ae58-3415fcbaf87a,2006-04-14T00:00:00.000Z,createdBy.gb5dx@example.com,2011-07-25T00:00:00.000Z,modifiedBy.gb5dx@example.com
27394054-ed62-4e15-98ae-74c9e78dca66,Expert,22.8,2007-08-23,19856823-f1c3-4da2-9d26-1925d9e8a15a,22221088-4cf1-4165-ae58-3415fcbaf87a,2005-03-13T00:00:00.000Z,createdBy.gb5dy@example.org,2003-08-15T00:00:00.000Z,modifiedBy.gb5dy@example.com
27394055-5c03-4a4f-9806-b8281e85b5ff,Advanced,19.8,2018-03-02,19856823-f1c3-4da2-9d26-1925d9e8a15a,22221088-4cf1-4165-ae58-3415fcbaf87a,2004-08-04T00:00:00.000Z,createdBy.gb5dz@example.org,2020-03-07T00:00:00.000Z,modifiedBy.gb5dz@example.net
27394056-6f63-47d3-8a5f-f1261d12c9c9,Advanced,51.8,2000-05-21,19856823-f1c3-4da2-9d26-1925d9e8a15a,22221088-4cf1-4165-ae58-3415fcbaf87a,2004-09-12T00:00:00.000Z,createdBy.gb5e0@example.org,2004-02-09T00:00:00.000Z,modifiedBy.gb5e0@example.com
27394057-0bd1-421f-a738-27b78e74e859,Intermediate,95.2,2023-10-31,19856823-f1c3-4da2-9d26-1925d9e8a15a,22221088-4cf1-4165-ae58-3415fcbaf87a,2006-04-19T00:00:00.000Z,createdBy.gb5e1@example.net,2015-06-03T00:00:00.000Z,modifiedBy.gb5e1@example.org
27394058-ab58-418d-9b57-722a7c0b90b8,Expert,36.4,2023-06-13,19856823-f1c3-4da2-9d26-1925d9e8a15a,22221088-4cf1-4165-ae58-3415fcbaf87a,2021-10-20T00:00:00.000Z,createdBy.gb5e2@example.net,2013-04-11T00:00:00.000Z,modifiedBy.gb5e2@example.org
27394059-30f6-4f27-9651-6b42ac47f2ac,Intermediate,77.4,2003-03-20,19856823-f1c3-4da2-9d26-1925d9e8a15a,22221088-4cf1-4165-ae58-3415fcbaf87a,2008-07-17T00:00:00.000Z,createdBy.gb5e3@example.org,2015-11-17T00:00:00.000Z,modifiedBy.gb5e3@example.com
27394060-0be2-42c1-ac91-7db7a645fc4f,Intermediate,24.1,2006-04-22,19856823-f1c3-4da2-9d26-1925d9e8a15a,22221088-4cf1-4165-ae58-3415fcbaf87a,2023-07-06T00:00:00.000Z,createdBy.gb5e4@example.net,2007-09-10T00:00:00.000Z,modifiedBy.gb5e4@example.com
27394061-833c-4876-ab95-4e4dedae381b,Intermediate,12.1,2011-12-13,19856823-f1c3-4da2-9d26-1925d9e8a15a,22221088-4cf1-4165-ae58-3415fcbaf87a,2019-12-13T00:00:00.000Z,createdBy.gb5e5@example.org,2013-06-18T00:00:00.000Z,modifiedBy.gb5e5@example.org
27394062-0dee-4b29-af95-7c3e41249d45,Advanced,77.9,2016-06-21,19856823-f1c3-4da2-9d26-1925d9e8a15a,22221088-4cf1-4165-ae58-3415fcbaf87a,2020-05-09T00:00:00.000Z,createdBy.gb5e6@example.net,2007-02-01T00:00:00.000Z,modifiedBy.gb5e6@example.org
