code,locale,name,descr
196,ko,name-10992110,descr-10992110
196,en,name-10992111,descr-10992111
197,fi,name-27968086,descr-27968086
197,pl,name-27968087,descr-27968087
198,fr,name-10831438,descr-10831438
198,ko,name-10831439,descr-10831439
199,pl,name-21636733,descr-21636733
199,it,name-21636734,descr-21636734
200,ro,name-16494691,descr-16494691
200,cs,name-16494692,descr-16494692
201,sv,name-17771596,descr-17771596
201,ja,name-17771597,descr-17771597
202,ja,name-16205073,descr-16205073
202,th,name-16205074,descr-16205074
203,nl,name-6458941,descr-6458941
203,pt,name-6458942,descr-6458942
204,fr,name-24538803,descr-24538803
204,pl,name-24538804,descr-24538804
205,de,name-7195389,descr-7195389
205,es,name-7195390,descr-7195390
