code,locale,name,descr
625,nl,name-24496923,descr-24496923
625,pt,name-24496924,descr-24496924
626,es,name-11178395,descr-11178395
626,ja,name-11178396,descr-11178396
627,pt,name-6133496,descr-6133496
628,da,name-25712965,descr-25712965
628,ru,name-25712966,descr-25712966
629,de,name-12438477,descr-12438477
629,ms,name-12438478,descr-12438478
630,ru,name-21385068,descr-21385068
630,de,name-21385069,descr-21385069
631,en,name-12957165,descr-12957165
631,fr,name-12957166,descr-12957166
632,de,name-28797334,descr-28797334
632,ro,name-28797335,descr-28797335
633,ar,name-4250269,descr-4250269
633,pl,name-4250270,descr-4250270
634,es,name-12903394,descr-12903394
634,ja,name-12903395,descr-12903395
