ID,poNumber,supplier_ID,orderDate,requiredDate,status,priority,totalAmount,currency_code,notes,approvedBy,approvedAt,rejectionNote,createdAt,createdBy,modifiedAt,modifiedBy
21324796-d09e-421e-a968-400a919930f3,poNumber-21324796,26368286-78c0-400a-a8eb-a71af21a184c,2009-08-22,2020-07-07,Draft,High,2135137016.93,436,notes-21324796,approvedBy-21324796,2020-06-29T00:00:00.000Z,rejectionNote-21324796,2018-12-12T00:00:00.000Z,createdBy.cp2bg@example.net,2010-02-13T00:00:00.000Z,modifiedBy.cp2bg@example.com
21324797-30c1-431a-9eed-ce1c41760a5f,poNumber-21324797,26368286-78c0-400a-a8eb-a71af21a184c,2014-02-27,2011-07-18,Ordered,Medium,7632838206.28,436,notes-21324797,approvedBy-21324797,2009-12-25T00:00:00.000Z,rejectionNote-21324797,2003-10-27T00:00:00.000Z,createdBy.cp2bh@example.com,2001-02-04T00:00:00.000Z,modifiedBy.cp2bh@example.org
21324798-4dcb-476e-9ec8-179455570584,poNumber-21324798,26368286-78c0-400a-a8eb-a71af21a184c,2008-01-12,2018-04-12,Received,Urgent,7226766838.21,436,notes-21324798,approvedBy-21324798,2016-09-06T00:00:00.000Z,rejectionNote-21324798,2015-10-25T00:00:00.000Z,createdBy.cp2bi@example.net,2016-07-01T00:00:00.000Z,modifiedBy.cp2bi@example.com
21324799-1b37-4653-a44c-23fdfd82f970,poNumber-21324799,26368286-78c0-400a-a8eb-a71af21a184c,2018-09-30,2023-11-10,Rejected,Medium,8784712986.8,436,notes-21324799,approvedBy-21324799,2016-06-16T00:00:00.000Z,rejectionNote-21324799,2016-07-23T00:00:00.000Z,createdBy.cp2bj@example.net,2019-08-31T00:00:00.000Z,modifiedBy.cp2bj@example.net
21324800-698e-4627-837e-06c9e51751d3,poNumber-21324800,26368286-78c0-400a-a8eb-a71af21a184c,2003-03-02,2022-02-13,Pending,High,2799196187.64,436,notes-21324800,approvedBy-21324800,2008-09-08T00:00:00.000Z,rejectionNote-21324800,2004-11-21T00:00:00.000Z,createdBy.cp2bk@example.org,2022-09-19T00:00:00.000Z,modifiedBy.cp2bk@example.net
21324801-56fe-4506-8187-21238f8540a7,poNumber-21324801,26368286-78c0-400a-a8eb-a71af21a184c,2010-11-15,2006-10-12,Ordered,Urgent,3907989760.21,436,notes-21324801,approvedBy-21324801,2019-06-22T00:00:00.000Z,rejectionNote-21324801,2014-11-08T00:00:00.000Z,createdBy.cp2bl@example.org,2015-02-07T00:00:00.000Z,modifiedBy.cp2bl@example.net
21324802-1cee-4832-b492-46f5de3f5813,poNumber-21324802,26368286-78c0-400a-a8eb-a71af21a184c,2019-02-18,2016-12-28,Received,Urgent,9772853498.82,436,notes-21324802,approvedBy-21324802,2010-03-04T00:00:00.000Z,rejectionNote-21324802,2008-10-23T00:00:00.000Z,createdBy.cp2bm@example.com,2007-03-04T00:00:00.000Z,modifiedBy.cp2bm@example.org
21324803-d1c1-47a4-b4ea-fc3ee3b315fb,poNumber-21324803,26368286-78c0-400a-a8eb-a71af21a184c,2011-04-25,2013-06-20,Draft,Low,5408431357.5,436,notes-21324803,approvedBy-21324803,2001-06-15T00:00:00.000Z,rejectionNote-21324803,2003-01-01T00:00:00.000Z,createdBy.cp2bn@example.com,2022-10-08T00:00:00.000Z,modifiedBy.cp2bn@example.com
21324804-b384-4cd4-838e-284c0729ac6e,poNumber-21324804,26368286-78c0-400a-a8eb-a71af21a184c,2018-12-04,2012-08-24,Draft,High,4701031660.44,436,notes-21324804,approvedBy-21324804,2020-01-08T00:00:00.000Z,rejectionNote-21324804,2016-09-06T00:00:00.000Z,createdBy.cp2bo@example.com,2012-05-27T00:00:00.000Z,modifiedBy.cp2bo@example.net
21324805-858c-4345-9edd-a39bd9437d26,poNumber-21324805,26368286-78c0-400a-a8eb-a71af21a184c,2007-07-07,2007-08-23,Pending,Low,1180622964.33,436,notes-21324805,approvedBy-21324805,2018-02-04T00:00:00.000Z,rejectionNote-21324805,2010-12-08T00:00:00.000Z,createdBy.cp2bp@example.com,2012-07-08T00:00:00.000Z,modifiedBy.cp2bp@example.org
