code,locale,name,descr
436,hu,name-24711920,descr-24711920
436,it,name-24711921,descr-24711921
919,ru,name-7564681,descr-7564681
919,es,name-7564682,descr-7564682
920,fr,name-803568,descr-803568
920,es,name-803569,descr-803569
921,de,name-8831265,descr-8831265
921,ro,name-8831266,descr-8831266
922,fr,name-9679632,descr-9679632
922,ja,name-9679633,descr-9679633
923,tr,name-26540669,descr-26540669
923,fr,name-26540670,descr-26540670
924,sv,name-14295447,descr-14295447
924,ru,name-14295448,descr-14295448
925,ar,name-18622109,descr-18622109
925,pl,name-18622110,descr-18622110
926,zh,name-15379691,descr-15379691
927,de,name-31272731,descr-31272731
927,da,name-31272732,descr-31272732
